Date,Time,Focus,Energy,Stress,day_num,focus_trend,stress_trend,energy_trend
2025-12-29,10:20 PM,4,3,1,0,5.381818181818179,1.727272727272726,5.999999999999996
2026-01-03,07:58 PM,8,9,4,1,5.496969696969694,1.8545454545454532,6.199999999999996
2026-01-20,12:06 PM,6,8,2,2,5.61212121212121,1.9818181818181808,6.399999999999996
2026-01-22,04:17 PM,6,9,1,3,5.727272727272725,2.1090909090909085,6.599999999999996
2026-04-28,12:14 AM,4,3,2,4,5.84242424242424,2.2363636363636354,6.799999999999996
2026-05-19,06:01 PM,7,9,2,5,5.957575757575755,2.3636363636363638,6.9999999999999964
2026-05-27,09:36 PM,2,4,1,6,6.072727272727271,2.4909090909090903,7.199999999999996
2026-06-13,09:29 PM,9,7,4,7,6.187878787878786,2.618181818181818,7.399999999999997
2026-06-17,03:10 PM,6,8,3,8,6.303030303030301,2.745454545454545,7.599999999999996
2026-06-18,06:48 PM,7,9,3,9,6.418181818181816,2.872727272727273,7.799999999999997
